"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"MHL","Oceania","Marshall Islands","19/06/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,7,1.006,0.117,1,0.017,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42050,295.15,NA,NA,NA,3819.202,NA,557.793,30.53,NA,NA,82.502,2.7,73.7,0.704,NA,NA,NA,NA
"MHL","Oceania","Marshall Islands","20/06/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,2,1.04,0.034,1,0.017,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42050,295.15,NA,NA,NA,3819.202,NA,557.793,30.53,NA,NA,82.502,2.7,73.7,0.704,NA,NA,NA,NA
"MHL","Oceania","Marshall Islands","21/06/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.017,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42050,295.15,NA,NA,NA,3819.202,NA,557.793,30.53,NA,NA,82.502,2.7,73.7,0.704,NA,NA,NA,NA
"MHL","Oceania","Marshall Islands","22/06/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.017,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42050,295.15,NA,NA,NA,3819.202,NA,557.793,30.53,NA,NA,82.502,2.7,73.7,0.704,NA,NA,NA,NA
"MHL","Oceania","Marshall Islands","23/06/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.017,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42050,295.15,NA,NA,NA,3819.202,NA,557.793,30.53,NA,NA,82.502,2.7,73.7,0.704,NA,NA,NA,NA
"MHL","Oceania","Marshall Islands","24/06/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.017,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42050,295.15,NA,NA,NA,3819.202,NA,557.793,30.53,NA,NA,82.502,2.7,73.7,0.704,NA,NA,NA,NA
"MHL","Oceania","Marshall Islands","25/06/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42050,295.15,NA,NA,NA,3819.202,NA,557.793,30.53,NA,NA,82.502,2.7,73.7,0.704,NA,NA,NA,NA
"MHL","Oceania","Marshall Islands","26/06/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42050,295.15,NA,NA,NA,3819.202,NA,557.793,30.53,NA,NA,82.502,2.7,73.7,0.704,NA,NA,NA,NA
"MHL","Oceania","Marshall Islands","27/06/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42050,295.15,NA,NA,NA,3819.202,NA,557.793,30.53,NA,NA,82.502,2.7,73.7,0.704,NA,NA,NA,NA
"MHL","Oceania","Marshall Islands","28/06/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42050,295.15,NA,NA,NA,3819.202,NA,557.793,30.53,NA,NA,82.502,2.7,73.7,0.704,NA,NA,NA,NA
